"","deveg","reveg","branching","sympodial","sympodial.node","flower","im","flo.count","branched","symped","ratio","ratio.class","type","name"
"1",0.1,0.1,12,0,0,0,76,1,4,0,1,0,6,"an"
"2",0.1,0.2,12,0,0,0,76,1,4,0,1,0,6,"an"
"3",0.1,0.3,12,0,0,0,76,1,4,0,1,0,6,"an"
"4",0.1,0.4,12,0,0,0,76,1,4,0,1,0,6,"an"
"5",0.1,0.5,12,0,0,0,76,1,4,0,1,0,6,"an"
"6",0.1,0.6,12,0,0,0,76,1,4,0,1,0,6,"an"
"7",0.1,0.7,12,0,0,0,76,1,4,0,1,0,6,"an"
"8",0.1,0.8,12,1,16,0,75,1,4,1,1,0,7,"fa"
"9",0.1,0.9,12,6,7,0,70,1,4,1,1,0,7,"fa"
"10",0.1,1,12,7,7,0,69,1,4,1,1,0,7,"fa"
"11",0.1,1.1,12,54,5,0,21,1,4,1,4,2,7,"fa"
"12",0.1,1.2,12,73,5,0,0,1,4,1,15,2,7,"fa"
"13",0.1,1.3,12,73,5,0,0,1,4,1,15,2,7,"fa"
"14",0.1,1.4,12,73,5,0,0,1,4,1,15,2,7,"fa"
"15",0.1,1.5,12,71,5,0,0,1,4,1,15,2,7,"fa"
"16",0.1,1.6,12,70,5,0,0,1,4,1,15,2,7,"fa"
"17",0.1,1.7,12,67,4,0,0,1,4,1,15,2,7,"fa"
"18",0.1,1.8,12,66,4,0,0,1,4,1,15,2,7,"fa"
"19",0.1,1.9,12,64,4,0,0,1,4,1,15,2,7,"fa"
"20",0.1,2,12,64,4,0,0,1,4,1,15,2,7,"fa"
"21",0.1,2.1,12,62,4,0,0,1,4,1,15,2,7,"fa"
"22",0.1,2.2,12,61,4,0,0,1,4,1,15,2,7,"fa"
"23",0.1,2.3,12,59,4,0,0,1,4,1,15,2,7,"fa"
"24",0.1,2.4,12,55,4,0,0,1,4,1,15,2,7,"fa"
"25",0.1,2.5,12,55,4,0,0,1,4,1,15,2,7,"fa"
"26",0.1,2.6,12,55,4,0,0,1,4,1,15,2,7,"fa"
"27",0.1,2.7,12,54,4,0,0,1,4,1,15,2,7,"fa"
"28",0.1,2.8,12,53,4,0,0,1,4,1,15,2,7,"fa"
"29",0.1,2.9,12,49,4,0,0,1,4,1,15,2,7,"fa"
"30",0.1,3,12,46,4,0,0,1,4,1,15,2,7,"fa"
"31",0.6,0.1,12,0,0,0,76,1,4,0,1,0,6,"an"
"32",0.6,0.2,12,0,0,0,76,1,4,0,1,0,6,"an"
"33",0.6,0.3,12,0,0,0,76,1,4,0,1,0,6,"an"
"34",0.6,0.4,12,0,0,0,76,1,4,0,1,0,6,"an"
"35",0.6,0.5,12,0,0,0,76,1,4,0,1,0,6,"an"
"36",0.6,0.6,12,0,0,0,76,1,4,0,1,0,6,"an"
"37",0.6,0.7,12,0,0,0,76,1,4,0,1,0,6,"an"
"38",0.6,0.8,12,0,0,0,76,1,4,0,1,0,6,"an"
"39",0.6,0.9,12,3,8,0,73,1,4,1,1,0,7,"fa"
"40",0.6,1,12,6,7,0,70,1,4,1,1,0,7,"fa"
"41",0.6,1.1,12,14,6,0,61,1,4,1,1,0,7,"fa"
"42",0.6,1.2,12,23,6,0,52,1,4,1,1,0,7,"fa"
"43",0.6,1.3,12,28,5,0,45,1,4,1,2,1,7,"fa"
"44",0.6,1.4,12,36,5,0,37,1,4,1,2,1,7,"fa"
"45",0.6,1.5,12,45,5,0,27,1,4,1,3,2,7,"fa"
"46",0.6,1.6,12,52,5,0,18,1,4,1,4,2,7,"fa"
"47",0.6,1.7,12,59,5,0,11,1,4,1,6,2,7,"fa"
"48",0.6,1.8,12,62,4,0,7,1,4,1,10,2,7,"fa"
"49",0.6,1.9,12,62,4,0,4,1,4,1,15,2,7,"fa"
"50",0.6,2,12,62,4,0,3,1,4,1,15,2,7,"fa"
"51",0.6,2.1,12,61,4,0,2,1,4,1,15,2,7,"fa"
"52",0.6,2.2,12,60,4,0,1,1,4,1,15,2,7,"fa"
"53",0.6,2.3,12,61,4,0,0,1,4,1,15,2,7,"fa"
"54",0.6,2.4,12,59,4,0,0,1,4,1,15,2,7,"fa"
"55",0.6,2.5,12,58,4,0,0,1,4,1,15,2,7,"fa"
"56",0.6,2.6,12,57,4,0,0,1,4,1,15,2,7,"fa"
"57",0.6,2.7,12,55,4,0,0,1,4,1,15,2,7,"fa"
"58",0.6,2.8,12,53,4,0,0,1,4,1,15,2,7,"fa"
"59",0.6,2.9,12,51,4,0,0,1,4,1,15,2,7,"fa"
"60",0.6,3,12,50,4,0,0,1,4,1,15,2,7,"fa"
"61",1.1,0.1,8,0,0,0,52,1,4,0,1,0,6,"an"
"62",1.1,0.2,8,0,0,0,57,1,4,0,1,0,6,"an"
"63",1.1,0.3,8,0,0,0,60,1,4,0,1,0,6,"an"
"64",1.1,0.4,8,0,0,0,60,1,4,0,1,0,6,"an"
"65",1.1,0.5,9,0,0,0,64,1,4,0,1,0,6,"an"
"66",1.1,0.6,9,0,0,0,65,1,4,0,1,0,6,"an"
"67",1.1,0.7,9,0,0,0,67,1,4,0,1,0,6,"an"
"68",1.1,0.8,9,0,0,0,67,1,4,0,1,0,6,"an"
"69",1.1,0.9,9,3,8,0,65,1,4,1,1,0,7,"fa"
"70",1.1,1,9,5,8,0,64,1,4,1,1,0,7,"fa"
"71",1.1,1.1,9,9,7,0,59,1,4,1,1,0,7,"fa"
"72",1.1,1.2,9,16,6,0,52,1,4,1,1,0,7,"fa"
"73",1.1,1.3,9,17,6,0,51,1,4,1,1,0,7,"fa"
"74",1.1,1.4,9,22,6,0,46,1,4,1,1,0,7,"fa"
"75",1.1,1.5,9,27,5,0,41,1,4,1,2,1,7,"fa"
"76",1.1,1.6,9,30,5,0,36,1,4,1,2,1,7,"fa"
