"","deveg","reveg","branching","sympodial","sympodial.node","flower","im","flo.count","branched","symped","ratio","ratio.class","type","name"
"1",0.1,0.1,12,0,0,0,76,1,4,0,1,0,6,"an"
"2",0.1,0.2,12,0,0,0,76,1,4,0,1,0,6,"an"
"3",0.1,0.3,12,0,0,0,76,1,4,0,1,0,6,"an"
"4",0.1,0.4,12,0,0,0,76,1,4,0,1,0,6,"an"
"5",0.1,0.5,12,0,0,0,76,1,4,0,1,0,6,"an"
"6",0.1,0.6,12,0,0,0,76,1,4,0,1,0,6,"an"
"7",0.1,0.7,12,0,0,0,76,1,4,0,1,0,6,"an"
"8",0.1,0.8,12,1,16,0,75,1,4,1,1,0,7,"fa"
"9",0.1,0.9,12,6,7,0,70,1,4,1,1,0,7,"fa"
"10",0.1,1,12,7,7,0,69,1,4,1,1,0,7,"fa"
"11",0.1,1.1,12,54,5,0,21,1,4,1,4,2,7,"fa"
"12",0.1,1.2,12,73,5,0,0,1,4,1,15,2,7,"fa"
"13",0.1,1.3,12,73,5,0,0,1,4,1,15,2,7,"fa"
"14",0.1,1.4,12,73,5,0,0,1,4,1,15,2,7,"fa"
"15",0.1,1.5,12,71,5,0,0,1,4,1,15,2,7,"fa"
"16",0.1,1.6,12,70,5,0,0,1,4,1,15,2,7,"fa"
"17",0.1,1.7,12,67,4,0,0,1,4,1,15,2,7,"fa"
"18",0.1,1.8,12,66,4,0,0,1,4,1,15,2,7,"fa"
"19",0.1,1.9,12,64,4,0,0,1,4,1,15,2,7,"fa"
"20",0.1,2,12,64,4,0,0,1,4,1,15,2,7,"fa"
"21",0.1,2.1,12,62,4,0,0,1,4,1,15,2,7,"fa"
"22",0.1,2.2,12,61,4,0,0,1,4,1,15,2,7,"fa"
"23",0.1,2.3,12,59,4,0,0,1,4,1,15,2,7,"fa"
"24",0.1,2.4,12,55,4,0,0,1,4,1,15,2,7,"fa"
"25",0.1,2.5,12,55,4,0,0,1,4,1,15,2,7,"fa"
"26",0.1,2.6,12,55,4,0,0,1,4,1,15,2,7,"fa"
"27",0.1,2.7,12,54,4,0,0,1,4,1,15,2,7,"fa"
"28",0.1,2.8,12,53,4,0,0,1,4,1,15,2,7,"fa"
"29",0.1,2.9,12,49,4,0,0,1,4,1,15,2,7,"fa"
"30",0.1,3,12,46,4,0,0,1,4,1,15,2,7,"fa"
"31",0.3,0.1,12,0,0,0,76,1,4,0,1,0,6,"an"
"32",0.3,0.2,12,0,0,0,76,1,4,0,1,0,6,"an"
"33",0.3,0.3,12,0,0,0,76,1,4,0,1,0,6,"an"
"34",0.3,0.4,12,0,0,0,76,1,4,0,1,0,6,"an"
"35",0.3,0.5,12,0,0,0,76,1,4,0,1,0,6,"an"
"36",0.3,0.6,12,0,0,0,76,1,4,0,1,0,6,"an"
"37",0.3,0.7,12,0,0,0,76,1,4,0,1,0,6,"an"
"38",0.3,0.8,12,0,0,0,76,1,4,0,1,0,6,"an"
"39",0.3,0.9,12,4,8,0,72,1,4,1,1,0,7,"fa"
"40",0.3,1,12,7,7,0,69,1,4,1,1,0,7,"fa"
"41",0.3,1.1,12,21,6,0,54,1,4,1,1,0,7,"fa"
"42",0.3,1.2,12,37,5,0,37,1,4,1,2,1,7,"fa"
"43",0.3,1.3,12,52,5,0,21,1,4,1,3,2,7,"fa"
"44",0.3,1.4,12,66,5,0,7,1,4,1,10,2,7,"fa"
"45",0.3,1.5,12,69,5,0,3,1,4,1,15,2,7,"fa"
"46",0.3,1.6,12,69,5,0,1,1,4,1,15,2,7,"fa"
"47",0.3,1.7,12,69,4,0,0,1,4,1,15,2,7,"fa"
"48",0.3,1.8,12,67,4,0,0,1,4,1,15,2,7,"fa"
"49",0.3,1.9,12,64,4,0,0,1,4,1,15,2,7,"fa"
"50",0.3,2,12,64,4,0,0,1,4,1,15,2,7,"fa"
"51",0.3,2.1,12,63,4,0,0,1,4,1,15,2,7,"fa"
"52",0.3,2.2,12,61,4,0,0,1,4,1,15,2,7,"fa"
"53",0.3,2.3,12,60,4,0,0,1,4,1,15,2,7,"fa"
"54",0.3,2.4,12,57,4,0,0,1,4,1,15,2,7,"fa"
"55",0.3,2.5,12,55,4,0,0,1,4,1,15,2,7,"fa"
"56",0.3,2.6,12,55,4,0,0,1,4,1,15,2,7,"fa"
"57",0.3,2.7,12,54,4,0,0,1,4,1,15,2,7,"fa"
"58",0.3,2.8,12,53,4,0,0,1,4,1,15,2,7,"fa"
"59",0.3,2.9,12,50,4,0,0,1,4,1,15,2,7,"fa"
"60",0.3,3,12,49,4,0,0,1,4,1,15,2,7,"fa"
"61",0.5,0.1,12,0,0,0,76,1,4,0,1,0,6,"an"
"62",0.5,0.2,12,0,0,0,76,1,4,0,1,0,6,"an"
"63",0.5,0.3,12,0,0,0,76,1,4,0,1,0,6,"an"
"64",0.5,0.4,12,0,0,0,76,1,4,0,1,0,6,"an"
"65",0.5,0.5,12,0,0,0,76,1,4,0,1,0,6,"an"
"66",0.5,0.6,12,0,0,0,76,1,4,0,1,0,6,"an"
"67",0.5,0.7,12,0,0,0,76,1,4,0,1,0,6,"an"
"68",0.5,0.8,12,0,0,0,76,1,4,0,1,0,6,"an"
"69",0.5,0.9,12,3,8,0,73,1,4,1,1,0,7,"fa"
"70",0.5,1,12,7,7,0,69,1,4,1,1,0,7,"fa"
"71",0.5,1.1,12,15,6,0,60,1,4,1,1,0,7,"fa"
"72",0.5,1.2,12,23,6,0,52,1,4,1,1,0,7,"fa"
"73",0.5,1.3,12,34,5,0,39,1,4,1,2,1,7,"fa"
"74",0.5,1.4,12,44,5,0,29,1,4,1,3,2,7,"fa"
"75",0.5,1.5,12,53,5,0,19,1,4,1,4,2,7,"fa"
"76",0.5,1.6,12,60,5,0,10,1,4,1,7,2,7,"fa"
