"","deveg","reveg","branching","sympodial","sympodial.node","flower","im","flo.count","branched","symped","ratio","ratio.class","type","name"
"1",0.1,0.1,14,0,0,0,16380,1,4,0,1,0,7,"an"
"2",0.1,0.3,14,0,0,0,16380,1,4,0,1,0,7,"an"
"3",0.1,0.5,14,0,0,0,16380,1,4,0,1,0,7,"an"
"4",0.1,0.7,14,0,0,0,16380,1,4,0,1,0,7,"an"
"5",0.1,0.9,14,7344,7,0,7862,1,4,1,2,1,6,"fa"
"6",0.1,1.1,14,9669,5,0,92,1,4,1,15,2,6,"fa"
"7",0.1,1.3,14,4641,5,0,0,1,4,1,15,2,6,"fa"
"8",0.1,1.5,14,2864,5,0,0,1,4,1,15,2,6,"fa"
"9",0.1,1.7,14,1069,4,0,0,1,4,1,15,2,6,"fa"
"10",0.1,1.9,14,661,4,0,0,1,4,1,15,2,6,"fa"
"11",0.1,2.1,14,549,4,0,0,1,4,1,15,2,6,"fa"
"12",0.1,2.3,14,334,4,0,0,1,4,1,15,2,6,"fa"
"13",0.1,2.5,14,231,4,0,0,1,4,1,15,2,6,"fa"
"14",0.1,2.7,14,206,4,0,0,1,4,1,15,2,6,"fa"
"15",0.1,2.9,14,137,4,0,0,1,4,1,15,2,6,"fa"
"16",0.1,3.1,14,117,4,0,0,1,4,1,15,2,6,"fa"
"17",0.1,3.3,14,107,4,0,0,1,4,1,15,2,6,"fa"
"18",0.1,3.5,14,75,4,0,0,1,4,1,15,2,6,"fa"
"19",0.1,3.7,14,70,4,0,0,1,4,1,15,2,6,"fa"
"20",0.1,3.9,14,59,4,0,0,1,4,1,15,2,6,"fa"
"21",0.1,4.1,14,50,4,0,0,1,4,1,15,2,6,"fa"
"22",0.1,4.3,14,48,4,0,0,1,4,1,15,2,6,"fa"
"23",0.1,4.5,14,40,4,0,0,1,4,1,15,2,6,"fa"
"24",0.1,4.7,14,40,4,0,0,1,4,1,15,2,6,"fa"
"25",0.1,4.9,14,35,4,0,0,1,4,1,15,2,6,"fa"
"26",1.1,0.1,9,0,0,0,2568,1,4,0,1,0,7,"an"
"27",1.1,0.3,9,0,0,0,15471,1,4,0,1,0,7,"an"
"28",1.1,0.5,9,0,0,0,16135,1,4,0,1,0,7,"an"
"29",1.1,0.7,9,0,0,0,16234,1,4,0,1,0,7,"an"
"30",1.1,0.9,9,3472,8,0,12296,1,4,1,1,0,6,"fa"
"31",1.1,1.1,9,6448,7,0,4886,1,4,1,2,1,6,"fa"
"32",1.1,1.3,9,5198,6,0,1294,1,4,1,5,2,6,"fa"
"33",1.1,1.5,9,3604,5,0,444,1,4,1,9,2,6,"fa"
"34",1.1,1.7,9,2165,5,0,163,1,4,1,14,2,6,"fa"
"35",1.1,1.9,9,1220,4,0,63,1,4,1,15,2,6,"fa"
"36",1.1,2.1,9,808,4,0,28,1,4,1,15,2,6,"fa"
"37",1.1,2.3,9,570,4,0,11,1,4,1,15,2,6,"fa"
"38",1.1,2.5,9,389,4,0,6,1,4,1,15,2,6,"fa"
"39",1.1,2.7,9,289,4,0,1,1,4,1,15,2,6,"fa"
"40",1.1,2.9,9,225,4,0,0,1,4,1,15,2,6,"fa"
"41",1.1,3.1,9,172,4,0,0,1,4,1,15,2,6,"fa"
"42",1.1,3.3,8,139,4,0,0,1,4,1,15,2,6,"fa"
"43",1.1,3.5,8,107,4,0,0,1,4,1,15,2,6,"fa"
"44",1.1,3.7,8,85,4,0,0,1,4,1,15,2,6,"fa"
"45",1.1,3.9,8,70,4,0,0,1,4,1,15,2,6,"fa"
"46",1.1,4.1,8,59,4,0,0,1,4,1,15,2,6,"fa"
"47",1.1,4.3,8,53,4,0,0,1,4,1,15,2,6,"fa"
"48",1.1,4.5,8,48,4,0,0,1,4,1,15,2,6,"fa"
"49",1.1,4.7,8,46,4,0,0,1,4,1,15,2,6,"fa"
"50",1.1,4.9,8,43,4,0,0,1,4,1,15,2,6,"fa"
"51",2.1,0.1,5,0,0,1,28,32,4,0,1,0,4,"s.sft"
"52",2.1,0.3,5,0,0,1,295,42,4,0,1,0,4,"s.sft"
"53",2.1,0.5,5,0,0,1,5253,36,4,0,1,0,4,"s.sft"
"54",2.1,0.7,5,0,0,1,10120,21,4,0,1,0,4,"s.sft"
