"","deveg","reveg","branching","sympodial","sympodial.node","flower","im","flo.count","flo.first","branching.first","branched","branched.first","symped","type","type.alt","name","symped.node"
"1",0.1,0.1,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"2",0.1,0.2,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"3",0.1,0.3,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"4",0.1,0.4,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"5",0.1,0.5,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"6",0.1,0.6,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"7",0.1,0.7,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"8",0.1,0.8,12,1,1,0,141,0,0,12,4,4,1,5,5,"fa",1
"9",0.1,0.9,12,6,1,0,136,0,0,12,4,4,1,5,5,"fa",1
"10",0.1,1,12,7,1,0,135,0,0,12,4,4,1,5,5,"fa",1
"11",0.1,1.1,12,55,1,0,86,0,0,12,4,4,1,5,5,"fa",1
"12",0.1,1.2,12,75,1,0,63,0,0,12,4,4,1,5,5,"fa",1
"13",0.1,1.3,12,75,1,0,63,0,0,12,4,4,1,5,5,"fa",1
"14",0.1,1.4,12,75,1,0,63,0,0,12,4,4,1,5,5,"fa",1
"15",0.1,1.5,12,75,1,0,61,0,0,12,4,4,1,5,5,"fa",1
"16",0.1,1.6,12,75,1,0,60,0,0,12,4,4,1,5,5,"fa",1
"17",0.1,1.7,12,72,1,0,57,0,0,12,4,4,1,5,5,"fa",1
"18",0.1,1.8,12,72,1,0,56,0,0,12,4,4,1,5,5,"fa",1
"19",0.1,1.9,12,72,1,0,54,0,0,12,4,4,1,5,5,"fa",1
"20",0.1,2,12,72,1,0,54,0,0,12,4,4,1,5,5,"fa",1
"21",0.1,2.1,12,72,1,0,52,0,0,12,4,4,1,5,5,"fa",1
"22",0.1,2.2,12,72,1,0,51,0,0,12,4,4,1,5,5,"fa",1
"23",0.1,2.3,12,69,1,0,49,0,0,12,4,4,1,5,5,"fa",1
"24",0.1,2.4,12,69,1,0,45,0,0,12,4,4,1,5,5,"fa",1
"25",0.1,2.5,12,69,1,0,45,0,0,12,4,4,1,5,5,"fa",1
"26",0.1,2.6,12,69,1,0,45,0,0,12,4,4,1,5,5,"fa",1
"27",0.1,2.7,12,69,1,0,44,0,0,12,4,4,1,5,5,"fa",1
"28",0.1,2.8,12,69,1,0,43,0,0,12,4,4,1,5,5,"fa",1
"29",0.1,2.9,12,67,1,0,39,0,0,12,4,4,1,5,5,"fa",1
"30",0.1,3,12,67,1,0,36,0,0,12,4,4,1,5,5,"fa",1
"31",0.6,0.1,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"32",0.6,0.2,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"33",0.6,0.3,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"34",0.6,0.4,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"35",0.6,0.5,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"36",0.6,0.6,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"37",0.6,0.7,12,0,0,0,142,0,0,12,4,4,0,4,4,"an",0
"38",0.6,0.8,12,0,3,0,142,0,0,12,4,4,0,4,4,"an",2
"39",0.6,0.9,12,3,1,0,139,0,0,12,4,4,1,5,5,"fa",1
"40",0.6,1,12,6,1,0,136,0,0,12,4,4,1,5,5,"fa",1
"41",0.6,1.1,12,15,1,0,126,0,0,12,4,4,1,5,5,"fa",1
"42",0.6,1.2,12,24,1,0,117,0,0,12,4,4,1,5,5,"fa",1
"43",0.6,1.3,12,30,1,0,108,0,0,12,4,4,1,5,5,"fa",1
"44",0.6,1.4,12,38,1,0,100,0,0,12,4,4,1,5,5,"fa",1
"45",0.6,1.5,12,48,1,0,89,0,0,12,4,4,1,5,5,"fa",1
"46",0.6,1.6,12,57,1,0,78,0,0,12,4,4,1,5,5,"fa",1
"47",0.6,1.7,12,64,1,0,71,0,0,12,4,4,1,5,5,"fa",1
"48",0.6,1.8,12,66,1,0,66,0,0,12,4,4,1,5,5,"fa",1
"49",0.6,1.9,12,68,1,0,60,0,0,12,4,4,1,5,5,"fa",1
"50",0.6,2,12,69,1,0,58,0,0,12,4,4,1,5,5,"fa",1
"51",0.6,2.1,12,70,1,0,55,0,0,12,4,4,1,5,5,"fa",1
"52",0.6,2.2,12,71,1,0,52,0,0,12,4,4,1,5,5,"fa",1
"53",0.6,2.3,12,72,1,0,51,0,0,12,4,4,1,5,5,"fa",1
"54",0.6,2.4,12,70,1,0,49,0,0,12,4,4,1,5,5,"fa",1
"55",0.6,2.5,12,69,1,0,48,0,0,12,4,4,1,5,5,"fa",1
"56",0.6,2.6,12,69,1,0,47,0,0,12,4,4,1,5,5,"fa",1
"57",0.6,2.7,12,69,1,0,45,0,0,12,4,4,1,5,5,"fa",1
"58",0.6,2.8,12,69,1,0,43,0,0,12,4,4,1,5,5,"fa",1
"59",0.6,2.9,12,68,1,0,41,0,0,12,4,4,1,5,5,"fa",1
"60",0.6,3,12,67,1,0,40,0,0,12,4,4,1,5,5,"fa",1
"61",1.1,0.1,8,0,0,0,118,0,0,8,4,4,0,4,4,"an",0
"62",1.1,0.2,8,0,0,0,123,0,0,8,4,4,0,4,4,"an",0
"63",1.1,0.3,8,0,0,0,126,0,0,8,4,4,0,4,4,"an",0
"64",1.1,0.4,8,0,0,0,126,0,0,8,4,4,0,4,4,"an",0
"65",1.1,0.5,9,0,0,0,130,0,0,8,4,4,0,4,4,"an",0
"66",1.1,0.6,9,0,0,0,131,0,0,8,4,4,0,4,4,"an",0
"67",1.1,0.7,9,0,0,0,133,0,0,8,4,4,0,4,4,"an",0
"68",1.1,0.8,9,0,3,0,133,0,0,8,4,4,0,4,4,"an",2
"69",1.1,0.9,9,3,1,0,131,0,0,8,4,4,1,5,5,"fa",1
"70",1.1,1,9,5,1,0,130,0,0,8,4,4,1,5,5,"fa",1
"71",1.1,1.1,9,10,1,0,124,0,0,8,4,4,1,5,5,"fa",1
"72",1.1,1.2,9,17,1,0,117,0,0,8,4,4,1,5,5,"fa",1
"73",1.1,1.3,9,18,1,0,115,0,0,8,4,4,1,5,5,"fa",1
"74",1.1,1.4,9,24,1,0,109,0,0,8,4,4,1,5,5,"fa",1
"75",1.1,1.5,9,29,1,0,104,0,0,8,4,4,1,5,5,"fa",1
"76",1.1,1.6,9,34,1,0,97,0,0,8,4,4,1,5,5,"fa",1
"77",1.1,1.7,9,41,1,0,89,0,0,8,4,4,1,5,5,"fa",1
"78",1.1,1.8,8,44,1,0,83,0,0,8,4,4,1,5,5,"fa",1
"79",1.1,1.9,9,49,1,0,77,0,0,8,4,4,1,5,5,"fa",1
"80",1.1,2,9,52,1,0,72,0,0,8,4,4,1,5,5,"fa",1
